Title,Author,Abstract,Comments,Year,Venue,DOI,Technology node,Output capacitor capacity [nF],Total capacitor capacity [nF],Active area [mm^2],Active & passive area [mm^2],Input voltage [V],Output voltage [V],Dropout voltage [V],Voltage droop [mV],Voltage overshoot [mV],Max load current [mA],Min load current [uA],Max (tested) load current change [mA],Edge time [ns],Settling time (droop) [ns],Settling time (overshoot) [ns],Quiescent current [?A],Peak current efficiency [%],Peak power efficiency [%],PSRR [dB],PSRR measurement frequency [MHz],Power-FET unit current [uA],Output ripple voltage [mV],Output voltage deadzone [mV],Output voltage error [mV],Output voltage temperature coefficient [ppm/oC],DC line regulation [mV/V],DC load regulation [mV/mA],Current Density [mA/mm^2],Load regulation FoM 1 [ps],Load regulation FoM 2 [pF],Load regulation FoM 3 [edge-adj ps],Load regulation FoM 4 [pC]
0.5-V input digital LDO with 98.7% current efficiency and 2.7-µA quiescent current in 65nm CMOS,"Yasuyuki Okuma, Koichi Ishida, Yoshikatsu Ryu, Xin Zhang, Po-Hung Chen, Kazunori Watanabe, Makoto Takamiya, and Takayasu Sakurai","Digital LDO is proposed to provide the low noise and tunable power supply voltage to the 0.5-V near-threshold logic circuits. Because the conventional LDO feedback-controlled by the operational amplifier fail to operate at 0.5V, the digital LDO eliminates all analog circuits and is controlled by digital circuits, which enables the 0.5-V operation. The developed digital LDO in 65nm CMOS achieved the 0.5-V input voltage and 0.45-V output voltage with 98.7% current efficiency and 2.7-µA quiescent current at 200-µA load current. Both the input voltage and the quiescent current are the lowest values in the published LDO’s, which indicates the good energy efficiency of the digital LDO at 0.5-V operation.",off-chip decoupling capacitor,2010,CICC,10.1109/CICC.2010.5617586,65nm CMOS,100,,0.042,,0.5,0.45,0.05,40,30,0.2,,0.2,-,,,2.7,,0,,,,3,,3,,3.1,0.65,-,270000,120,-,-
"Dual-loop system of distributed microregulators with high DC accuracy, load response time below 500 ps, and 85-mV dropout voltage",J. Bulzacchelli et al.,"A dual-loop architecture employs eight distributed microregulators (UREGs) to achieve load response times below 500 ps in 45-nm SOI CMOS. The trip point of an asynchronous comparator inside each UREG is tuned for high DC accuracy with a local charge pump, which receives UP/DOWN currents from a slow outer feedback loop. The feedback through the charge pumps also ensures balanced load sharing among the UREGs. Two techniques are introduced to reduce the output ripple generated by switching the pMOS passgate on and off: hybrid fast/slow passgate control (in which the DC portion of the load current is supplied by a parallel output device with slew-rate-limited gate drive) and pMOS strength calibration (which adjusts the active width of the passgate to compensate for PVT variations). The distributed regulator system is integrated into a DDR3 I/O core and supplies power to CMOS delay lines used for clock-to-data deskewing. Each of the eight UREGs is sized to provide up to 5.3 mA of load current and occupies an area of 55 × 60 ?m 2 . The measured DC load regulation is better than 10 mV down to an 85-mV dropout voltage. Jitter readings of the CMOS delay lines indicate output noise close to 28 mVpp.",,2012,JSSC,10.1109/JSSC.2012.2185354,45 nm CMOS,1.46,,0.075,,,,0,,,42,,,,,,,,-,,,,,,n/a,,,9.8,-,-,-,-,-
A 0.6 V resistance-locked loop embedded digital low dropout regulator in 40 nm CMOS with 77% power supply rejection improvement,C. Chiu et al.,"Conventional analog low dropout regulators suffer from serious degradations in its bandwidth, PSR, and regulation performance under sub-1V operation. The proposed digital LDO with the embedded resistance-locked loop (RLL) controller fabricated in 40nm CMOS process can still correctly regulate the output voltage to 0.4 V even when the input voltage scales down to 0.6V. Besides, maximum load current reaches 200mA and the switching noise suppression can be effectively
improved by 77% compared to the state-of-the-art digital LDOs.",,2013,VLSI,https://ieeexplore-ieee-org.ezproxy.cul.columbia.edu/document/6578649,40 nm CMOS,0.0001,,0.0375,0.0375,0.6,0.4,0.2,,,200,,,,,,25.1,99.99,66.66,-13,1,,,,n/a,,,,5333.333333,-,-,-,-
"A 32 nm embedded, fully-digital, phase-locked low dropout regulator for fine grained power management in digital circuits","S. Gangopadhyay, et al.","The need for fine-grained power management in digital ICs has led to the design and implementation of compact, scalable low-drop out regulators (LDOs) embedded deep within logic blocks. While analog LDOs have traditionally been used in digital ICs, the need for digitally implementable LDOs embedded in digital functional units for ultrafine grained power management is paramount. This paper presents a fully-digital, phase locked LDO implemented in 32 nm CMOS. The control model of the proposed design has been provided and limits of stability have been shown. Measurement results with a resistive load as well as a digital load exhibit peak current efficiency of 98%",edge time estimated from figure; FoM ps = 1150 using reported Tresponse,2014,JSSC,10.1109/JSSC.2014.2353798,32 nm CMOS,0.1,,0.07705,,-,0.6,-,150,,5,,0.8,10,,,92,97.8,-,,,,,,,,,n/a,-,2156.25,2.875,2731.25,2.185
A 0.13?m Fully Digital Low-Dropout Regulator with Adaptive Control and Reduced Dynamic Stability for Ultra-Wide Dynamic Range,"Saad Bin Nasir, Samantak Gangopadhyay, Arijit Raychowdhury",Paper 5.6 by Georgia Institute of Technology presents a fully digital LDO that uses adaptive control and fine grained clock gating to enable >90% current efficiency across a 50× load current range. The design also introduces a technique to enable 8× reduction in transient time in response to large voltage droops.,"Iq,min is used for FoM1,2; Vin is not specified for measurements",2015,ISSCC,https://doi-org.ezproxy.cul.columbia.edu/10.1109/ISSCC.2015.7062944,130nm CMOS,1,,0.114,,-,0.7,-,40,,4.6,,0.7,-,,,24,98.3,-,-5,1,,,,n/a,,,10,-,1959.183673,1.959183673,-,-
A 0.6 V Resistance-Locked Loop Embedded Digital Low Dropout Regulator in 40 nm CMOS With 80.5% Power Supply Rejection Improvement,"Chao-Chang Chiu, Po-Hsien Huang, Moris Lin, Ke-Horng Chen, Ying-Hsi Lin, Tsung-Yen Tsai, Chen Chao-Cheng Lee","The proposed resistance-locked loop (RLL) can achieve high PSRR of 16 dB digital low dropout (DLDO) regulator without consuming much power which is the drawback in prior arts. Even at light loads, the RLL can be shut down for power saving. Furthermore, the duty compensator ensures DLDO stability under different duty ratio of supply voltage. The operation voltage of proposed DLDO can be down to 0.6 V and the peak current efficiency is 99.99%. The test chip was fabricated in 40 nm CMOS process with all the transistors implemented by core device for small silicon area.",,2015,TCASI,https://doi-org.ezproxy.cul.columbia.edu/10.1109/TCSI.2014.2342380,40 nm CMOS,0.0001,,0.0375,0.0375,0.6,0.4,0.2,,,200,,,,,,25.1,99.99,66.66,-16,1,,,,n/a,,,,5333.333333,,,-,-
"The 12-Core POWER8™ Processor With 7.6 Tb/s IO Bandwidth, Integrated Voltage Regulation, and Resonant Clocking",E. Fluhr et al.,"POWER8™ is a 12-core processor fabricated in IBM's 22 nm SOI technology with core and cache improvements driven by big data applications, providing 2.5× socket performance over POWER7+™. Core throughput is supported by 7.6 Tb/s of off-chip I/O bandwidth which is provided by three primary interfaces, including two new variants of Elastic Interface as well as embedded PCI Gen-3. Power efficiency is improved with several techniques. An on-chip controller based on an embedded PowerPC™ 405 processor applies per-core DVFS by adjusting DPLLs and fully integrated voltage regulators. Each voltage regulator is a highly distributed system of digitally controlled microregulators, which achieves a peak power efficiency of 90.5%. A wide frequency range resonant clock design is used in 13 clock meshes and demonstrates a minimum power savings of 4%. Power and delay efficiency is achieved through the use of pulsed-clock latches, which require statistical validation to ensure robust yield.",active area has 64 uREGs in total; ,2015,JSSC,10.1109/JSSC.2014.2358553,IBM’s 22 nm eDRAM SOI technology,750,,0.08192,,1.1,0.61 ~ 1.05,> 0.05,,,,,,,,,,,90.5,,,,,,,,,,-,-,-,-,-
A 0.6–1 V input capacitor-less asynchronous digital LDO with fast transient response achieving 9.5 b over 500 mA loading range in 65-nm CMOS,F. Yang et al.,"A 65-nm external capacitor-less asynchronous digital low drop-out regulator (DLDO) with adaptive sizing and fast transient response is presented in this paper. Operating at a wide input voltage range from as low as 0.6V to 1V, this DLDO is capable of delivering a maximum current of 500mA with 50mV drop-out voltage. The proposed adaptive sizing featured by row-column-bit 3-dimensional (3D) power stage and its asynchronous adaptive digital pipeline control have enabled a fast transient response to nanoseconds' loading current change and a 200mV per 10ns reference voltage switching, as well as a fine resolution of 768 levels (~9.5 bits) with a 5mV output ripple. The quiescent current consumed by this DLDO at steady operation is as low as 300?A over the whole input range.",edge time = 2ns is simulated data; ,2015,ESSCIRC,10.1109/ESSCIRC.2015.7313858,65 nm CMOS,1.5,,0.158,0.72,0.65,0.6,0.05,35,,500,,100,2,40,40,300,99.94,92.25230769,,,,5,,,,,0.25,694.4444444,1.575,0.2625,4.575,0.4575
Fast-transient asynchronous digital LDO with load regulation enhancement by soft multi-step switching and adaptive timing techniques in 65-nm CMOS,F. Yang et al.,"A digital low drop-out regulator (DLDO) load regulation enhancement technique which includes soft multi-step switching and adaptive timing is presented in this paper. As multi-step switching is widely used to balance the speed and resolution, a power-efficient method to improve the poor resolution during the switching between coarse- and finegrained regulations is in demand. The proposed technique, especially targeting at eliminating the undesired ripple voltage during multi-step switching, is implemented in a 65-nm asynchronous DLDO. This DLDO operates at an input voltage of 0.6V to 1V, and delivers a maximum of 500mA current with a 50mV drop-out voltage. In addition to responding to a nanoseconds' 500mA load current step and a 50mV per 10ns reference voltage change, an enhanced load regulation of 0.15mV/mA is achieved by adopting the proposed techniques.",edge time = 2ns is simulated data; settling time estimated from fugure,2015,CICC,10.1109/CICC.2015.7338389,65 nm CMOS,2,,0.291,1.134375,1,0.95,0.05,250,250,500,,500,2,50,100,350,99.93,94.9335,,,,5,,,,,0.15 ~ 0.2,440.7713499,0.7,0.368421053,1.4,0.7
All-Digital Low-Dropout Regulator With Adaptive Control and Reduced Dynamic Stability for Digital Load Circuits,S. Nasir et al.,"Digitally implementable LDOs embedded within digital functional units augment their analog counterparts for ultrafine-grained power management in digital ICs. Digital load circuits represent load currents with large and in frequent current transients and require a wide voltage range of operation, preferably down to the threshold voltage (V TH ) of the transistor. This paper presents a discrete-time, fully digital, scan-programmable LDO macro in a low-power 0.13-?m technology operating down to 1.07×, the transistor V TH , and featuring greater than 90% current efficiency across a 50× current range through fine-grained clock gating and adaptive control. An 8× improvement in transient response time to large load steps is achieved through switched mode control. Both transient and steady-state operation models and measurements of the LDO are presented.","Iq,min is used for FoM1,2; Vin is not specified for measurements",2016,TPE,https://doi-org.ezproxy.cul.columbia.edu/10.1109/TPEL.2016.2519446,130 nm CMOS,1,,0.114,,,0.7,,40,,4.6,,0.7,-,,,24,98.3,-,-5,1,,,,n/a,,,10,-,1959.183673,1.959183673,-,-
